Author,Class,Tweet,NumberOfTotalCharacters,NumberOfUppercaseCharacters,NumberOfLowercaseCharacters,NumberOfSpecialCharacters,NumberOfNumbers,NumberOfBlanks,NumberOfWords,AverageLengthOfWords,NumberOfPropositions,AverageLengthOfPropositions,NumberOfPunctuationCharacters,NumberOfLowercaseWords,NumberOfUppercaseWords,VocabularyRichness,Flesch Kincaid Grade Level,Flesch Reading Ease,Dale Chall Readability,Automated Readability Index,Coleman Liau Index,Gunning Fog,SMOG(Simple Measure of Gobbledygook),Linsear Write
18200,1,Just watched the enchanting film #JungleBook and I was transported to a world of magic and wonder. It's a timeless classic that captures the essence of childhood imagination. #AdventureAwaits #MagicalJourney,207,9,163,6,0,29,30,8.56,3,10,3,25,1,1,10.3,47.79,10.17,14,15.36,14,0,10.5
18200,1,"The young actor who played Mowgli in #JungleBook is a revelation. His performance is filled with innocence and bravery, making us believe in the power of friendship and self-discovery. #TalentedYoungStar #Mowgli",211,9,165,7,0,30,31,8.24,3,10.33,4,25,0,0.94,10.5,47.28,10.01,13.8,14.96,13.94,0,10.75
18200,1,The visual effects in #JungleBook are truly extraordinary. The seamless integration of CGI and live-action creates a breathtaking jungle environment and brings the animals to life. #VisualSpectacle #ImmersiveExperience,218,11,174,6,0,27,28,9.18,3,9.33,3,22,1,1,17,-1.96,13.35,17.7,20.47,17.03,0,11.5
18200,1,The musical score in #JungleBook is enchanting. It perfectly captures the spirit of the jungle and adds an extra layer of emotion to the story. #MelodicMasterpiece #MusicalAdventure,181,8,142,5,0,26,27,8.07,3,9,2,22,0,1,12.1,32.39,10.74,12.4,14.38,14.29,0,8.75
18200,1,"The world-building in #JungleBook is captivating. Every corner of the jungle is meticulously crafted, creating a lush and vibrant setting for the unforgettable adventures. #ImmersiveEnvironment #JungleRealm",206,8,166,7,0,25,26,9.73,3,8.67,4,21,0,1,15.4,7.52,11.57,17.9,20.63,17.51,0,11
18200,1,"The voice cast in #JungleBook is phenomenal. Each actor brings their character to life with depth and charisma, making them feel like cherished friends. #VoiceActing #AnimatedPerfection",185,8,146,6,0,25,26,7.56,3,8.67,3,21,0,1,9.5,49.82,11.57,14,16.17,12.89,0,8
18200,1,"#JungleBook is a heartwarming tale that teaches valuable life lessons about friendship, bravery, and the importance of respecting nature. #LifeLessons #ComingOfAgeStory",168,8,134,6,0,20,21,9.08,2,10.5,3,18,0,1,13.8,33.24,12.2,22.3,21.93,17.92,0,15.5
18200,1,The cinematography in #JungleBook is stunning. The breathtaking landscapes and inventive camera angles make every frame a work of art. #VisualSplendor #CinematicBeauty,167,8,133,5,0,21,22,8.57,3,7.33,2,17,0,1,12.3,26.47,11.36,15.3,18.71,15.31,0,7.5
18200,1,"The adventure in #JungleBook is exhilarating. From encounters with fearsome predators to daring escapes, Mowgli's journey keeps you on the edge of your seat. #ThrillingRide #ActionPacked",186,9,145,7,0,25,26,8.36,3,8.67,4,21,0,1,9.5,49.82,10.96,14.2,16.17,11.35,0,8
18200,1,The themes explored in #JungleBook are timeless and resonate with audiences of all ages. It celebrates the harmony between humans and nature and reminds us of the interconnectedness of all living things. #Nature'sWonder #EnvironmentalMessage,241,8,194,6,0,33,34,9,3,11.33,3,29,0,1,12.3,37.3,11.91,15.9,16.88,15.04,0,12
